lon;lat;R;RR
-92.306;14.5544;0.333333333;1
-92.306;14.5592;0.333333333;1
-92.3012;14.5544;0.333333333;1
-92.3012;14.5592;0.333333333;1
-92.2964;14.5448;0.333333333;1
-92.2964;14.5496;0.333333333;1
-92.2964;14.5544;0.333333333;1
-92.2964;14.5592;0.333333333;1
-92.2916;14.54;0.333333333;1
